Time,fd1,fd2,fd3,fd4,fd5,fd6,fd7,fn1,fn2,fn3,fn4,fn5,fn6,fn7
201711122253,46,46,52,46,54,46,41,37,35,32,38,32,40,33
201711122307,46,46,52,46,54,46,41,37,35,32,38,32,40,33
201711122322,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711122337,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711122352,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711130007,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711130022,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711130037,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711130052,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711130107,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711130122,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711130137,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711130152,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711130207,44,46,52,46,54,46,41,38,35,32,38,32,40,33
201711130222,45,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130237,45,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130252,45,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130307,45,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130322,45,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130337,45,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130352,45,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130407,45,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130422,44,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130437,44,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130452,44,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130507,44,44,52,46,54,46,41,37,32,30,38,32,40,33
201711130522,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130537,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130552,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130607,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130622,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130637,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130652,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130707,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130722,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130737,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130752,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130807,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130822,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130837,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130852,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130907,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130922,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130937,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711130952,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711131007,44,44,52,44,50,49,36,32,30,37,29,40,29,
201711131022,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131032,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131047,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131102,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131117,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131132,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131147,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131202,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131217,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131232,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131247,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131302,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131317,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131332,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131347,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131402,45,44,52,44,50,49,36,32,30,37,29,40,29,
201711131417,44,43,51,44,50,49,36,33,30,37,29,40,29,
201711131432,44,43,51,44,50,49,36,33,30,37,29,40,29,
201711131447,44,43,51,44,50,49,36,33,30,37,29,40,29,
201711131502,44,43,51,44,50,49,36,33,30,37,29,40,29,
201711131517,44,43,51,44,49,51,36,33,30,38,29,40,30,25
201711131532,44,43,51,44,49,51,36,33,30,38,29,40,30,25
201711131547,44,43,51,44,49,51,36,33,30,38,29,40,30,25
201711131602,44,43,51,44,49,51,36,33,30,38,29,40,30,25
201711131617,44,43,51,44,49,51,36,33,30,38,29,40,30,25
201711131632,44,43,51,44,49,51,36,33,30,38,29,40,30,25
201711131647,44,43,51,44,49,51,36,33,30,38,29,40,30,25
201711131702,44,43,51,44,49,51,36,33,30,38,29,40,30,25
201711131717,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711131732,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711131747,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711131802,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711131817,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711131832,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711131847,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711131902,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711131917,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711131932,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711131947,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711132002,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711132017,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711132032,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711132047,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711132102,43,51,44,49,51,36,38,33,30,38,29,40,30,25
201711132117,43,51,44,49,51,,,35,30,38,29,40,30,25
201711132132,43,51,44,49,51,,,35,30,38,29,40,30,25
201711132147,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711132202,43,51,44,49,51,,,35,30,38,29,40,30,25
201711132217,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711132232,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711132247,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711132302,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711132317,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711132332,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711132347,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140002,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140017,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140032,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140047,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140102,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140117,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140132,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140147,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140202,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140217,43,51,44,49,51,36,38,35,30,38,29,40,30,25
201711140232,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140247,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140302,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140317,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140332,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140347,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140402,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140417,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140432,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140447,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140502,43,50,43,49,51,36,38,35,30,38,29,40,30,25
201711140517,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140532,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140547,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140602,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140617,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140632,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140647,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140702,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140717,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140732,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140747,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140802,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140817,,,,,,,,,,,,,,
201711140832,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140847,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140902,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140917,43,50,43,47,54,35,37,30,38,28,42,30,24,
201711140932,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711140947,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141002,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141017,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141032,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141047,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141102,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141117,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141132,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141147,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141202,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141217,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141232,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141247,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141302,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141317,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141332,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141347,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141402,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141417,44,50,43,47,54,35,37,30,38,28,42,30,24,
201711141432,44,51,42,47,54,35,37,30,40,28,42,30,24,
201711141447,44,51,42,47,54,35,37,30,40,28,42,30,24,
201711141502,44,51,42,47,54,35,37,30,40,28,42,30,24,
201711141517,44,51,42,47,54,35,37,30,40,28,42,30,24,
201711141532,44,51,42,46,55,37,39,30,40,29,40,32,26,28
201711141547,44,51,42,46,55,37,39,30,40,29,40,32,26,28
201711141602,44,51,42,46,55,37,39,30,40,29,40,32,26,28
201711141617,44,51,42,46,55,37,39,30,40,29,40,,,
201711141632,44,51,42,46,55,37,39,30,40,29,40,,,
201711141647,44,51,42,46,55,37,39,30,40,29,40,,,
201711141702,44,51,42,46,55,37,39,30,40,29,40,32,26,28
201711141717,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711141732,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711141747,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711141802,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711141817,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711141832,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711141847,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711141902,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711141917,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711141932,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711141947,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711142002,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711142017,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711142032,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711142047,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711142102,51,42,46,55,37,39,43,33,40,29,40,32,26,28
201711142117,51,42,46,55,37,39,43,30,40,29,40,32,26,28
201711142132,51,42,46,55,37,39,43,30,40,29,40,32,26,28
201711142147,51,42,46,55,37,39,43,30,40,29,40,32,26,28
201711142202,51,42,46,55,37,39,43,30,40,29,40,32,26,28
201711142217,51,42,46,55,37,39,43,30,40,29,40,32,26,28
201711142232,51,42,46,55,37,39,43,30,40,29,40,32,26,28
201711142247,51,42,46,55,37,39,43,30,40,29,40,32,26,28
201711142302,51,42,46,55,37,39,43,30,40,29,40,32,26,28
201711142317,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711142332,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711142347,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711150002,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711150017,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711150032,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711150047,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711150102,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711150117,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711150132,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711150147,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711150202,51,42,46,55,37,39,43,31,40,29,40,32,26,28
201711150217,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150232,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150247,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150302,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150317,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150332,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150347,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150402,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150417,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150432,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150447,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150502,53,42,46,55,37,39,43,30,39,28,40,32,26,28
201711150517,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150532,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150547,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150602,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150617,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150632,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150647,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150702,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150717,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150732,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150747,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150802,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150817,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150832,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150847,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150902,53,42,46,54,37,39,45,39,28,38,33,25,28,
201711150917,52,42,46,54,37,39,45,39,28,38,33,25,28,
201711150932,52,42,46,54,37,39,45,39,28,,,,,
201711150947,52,42,46,54,37,39,45,39,28,38,33,25,28,
201711151002,52,42,46,54,37,39,45,39,28,38,33,25,28,
201711151017,52,42,46,54,37,39,45,39,28,38,33,25,28,
201711151032,52,42,46,54,37,39,45,39,28,38,33,25,28,
201711151047,52,42,46,54,37,39,45,39,28,38,33,25,28,
201711151102,52,42,46,54,37,39,45,39,28,38,33,25,28,
201711151117,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151132,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151147,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151202,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151217,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151232,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151247,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151302,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151317,,,,,,,,,,,,,,
201711151332,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151347,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151402,50,42,46,54,37,39,45,39,28,38,33,25,28,
201711151417,49,42,46,54,37,39,45,40,31,38,33,25,28,
201711151432,49,42,46,54,37,39,45,40,31,38,33,25,28,
201711151447,49,42,46,54,37,39,45,40,31,38,33,25,28,
201711151502,49,42,46,54,37,39,45,40,31,38,33,25,28,
201711151517,49,42,46,54,37,39,45,40,31,38,33,25,28,
201711151532,49,42,46,55,38,39,47,40,31,39,35,26,29,32
201711151547,49,42,46,55,38,39,47,40,31,39,35,26,29,32
201711151602,49,42,46,55,38,39,47,40,31,39,35,26,29,32
201711151617,49,42,46,55,38,39,47,40,31,39,35,26,29,32
201711151632,49,42,46,55,38,39,47,40,31,39,35,26,29,32
201711151647,49,42,46,55,38,39,47,40,31,39,35,26,29,32
201711151702,49,42,46,55,38,39,47,40,31,39,35,26,29,32
201711151717,49,42,46,55,38,39,47,40,31,39,35,26,29,32
201711151732,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711151747,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711151802,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711151817,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711151832,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711151847,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711151902,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711151917,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711151932,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711151947,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711152002,42,46,55,38,39,47,42,40,31,39,35,26,29,32
201711152017,42,46,55,38,39,47,42,40,31,39,35,26,29,32
